ID,Time,Sex,Age,Weight,PrExp,Ketamine,Isoflurane,NormalizedTotalKetamineIsoflurane,DexdomitorandAtipamezole,SexKetamine,SexIsoflurane,KetamineDexdomitorAtipamezole,SexKetamineDexdomitorAtipamezole,01_cst_r_frontal,02_opt_r,03_optr_r_inferior,04_opt_l,05_optr_l_superior,06_cc3v,07_ccg_32,08_fornix_r,09_cst_l_frontal,10_cc5v,11_icp_r,12_scp_r,13_cc1d,14_cst_l_parietal,15_cg_r,16_cc3d,17_uf_l_lateral,18_cc_tapetum_inf,19_uf_r_lateral,20_ilf_l,21_ilf_r,22_cc1v,23_ccs,24_scp_l,25_ccg_ant,26_icp_l,27_uf_r_medial,28_cc_tapetum_sup,29_optr_r_superior,30_cg_l,31_uf_l_medial,32_cc4d,33_optr_l_inferior,34_cst_r_parietal,35_fornix_l
11,20,1,616,2.82,1,30,0,3,0.165,30,0,30.165,30.165,0.55632,0.36842,0.48052,0.34047,0.48675,0.53081,0.29215,0.38641,0.55686,0.52066,0.39317,0.43525,0.4801,0.55201,0.36037,0.46711,0.39274,0.32698,0.39192,0.4155,0.4415,0.51162,0.47268,0.42813,0.3976,0.38999,0.26547,0.314738367,0.49735,0.35659,0.23546,0.36595,0.46827,0.54117,0.386679167
11,24,1,721,3.17,2,45,0,4.5,0.33,45,0,45.33,45.33,0.57357,0.35271,0.46426,0.33976,0.47967,0.54591,0.28154,0.380924286,0.56221,0.5229,0.38015,0.41626,0.47944,0.55344,0.36776,0.47162,0.39787,0.342339083,0.36341,0.4107,0.43452,0.50909,0.48252,0.41516,0.39046,0.39049,0.24189,0.309107143,0.50041,0.35749,0.21404,0.37422,0.44908,0.55458,0.392262917
11,28,1,847,3.482,3,60,0,6,0.495,60,0,60.495,60.495,0.57741,0.3585,0.47824,0.3394,0.49531,0.54678,0.29614,0.38841,0.57268,0.52389,0.3844,0.42986,0.4785,0.55869,0.38388,0.47621,0.39943,0.348592,0.40292,0.42786,0.4497,0.51462,0.49345,0.42828,0.41457,0.40584,0.26621,0.312781837,0.50392,0.37324,0.25622,0.39068,0.46505,0.5518,0.390807917
11,32,1,973,4.118,4,75,0,7.5,0.66,75,0,75.66,75.66,0.54036,0.35484,0.47355,0.33188,0.48736,0.54433,0.28739,0.383678571,0.55081,0.51919,0.39573,0.42311,0.46322,0.53954,0.3831,0.47088,0.40012,0.326527917,0.39145,0.42569,0.4442,0.4948,0.49118,0.4025,0.3987,0.39498,0.25964,0.300911837,0.50478,0.38497,0.26244,0.3814,0.47194,0.51803,0.384049583
12,6,1,195,1.494,0,0,0,0,0,0,0,0,0,0.50919,0.37114,0.44264,0.32749,0.44882,0.51657,0.26794,0.373145714,0.49495,0.49637,0.29743,0.4087,0.44555,0.50219,0.30618,0.40774,0.36169,0.289134833,0.34056,0.37082,0.41112,0.47578,0.45159,0.40434,0.37547,0.3308,0.35262,0.295118571,0.47799,0.2809,0.24617,0.33888,0.43283,0.50035,0.37263375
12,10,1,315,2.268,1,15,0,1.5,0.165,15,0,15.165,15.165,0.52329,0.3792,0.45695,0.3655,0.48048,0.53852,0.28289,0.38716,0.51626,0.50806,0.32338,0.40814,0.45472,0.52108,0.32219,0.41999,0.37177,0.3047785,0.36135,0.39814,0.41351,0.49162,0.46856,0.4115,0.37702,0.34024,0.25558,0.29712102,0.49178,0.29152,0.24761,0.33841,0.46634,0.51951,0.391817083
12,14,1,419,2.664,2,35,0,3.5,0.33,35,0,35.33,35.33,0.54264,0.37854,0.48622,0.37285,0.50022,0.54811,0.29561,0.408224286,0.54063,0.52745,0.34038,0.42964,0.46857,0.53909,0.34158,0.43513,0.3966,0.318794417,0.39091,0.41266,0.44128,0.50739,0.49778,0.42692,0.39847,0.35694,0.28373,0.310073469,0.51887,0.31877,0.27479,0.35793,0.486,0.53105,0.407109583
12,18,1,532,3.24,3,50,0,5,0.495,50,0,50.495,50.495,0.54448,0.37678,0.48943,0.37239,0.50379,0.54719,0.30321,0.404585714,0.54196,0.51912,0.3381,0.43292,0.46124,0.54296,0.36409,0.43369,0.4144,0.316132,0.39789,0.42113,0.45282,0.51636,0.50084,0.43153,0.41511,0.37507,0.29597,0.301915306,0.51817,0.3324,0.2832,0.35713,0.49075,0.53287,0.394084167
12,22,1,665,3.68,4,65,0,6.5,0.66,65,0,65.66,65.66,0.54633,0.37433,0.49009,0.36544,0.50491,0.57046,0.30416,0.397384286,0.53812,0.54218,0.34579,0.42076,0.4522,0.53338,0.38252,0.46023,0.42884,0.310319833,0.42056,0.41349,0.44816,0.50169,0.52433,0.42225,0.42291,0.35309,0.33272,0.299712653,0.52439,0.35429,0.30335,0.3817,0.48774,0.5266,0.389803333
13,5,0,148,1.202,0,0,0,0,0,0,0,0,0,0.46597,0.33878,0.38393,0.33849,0.43361,0.43728,0.25772,0.353112857,0.47193,0.44765,0.28721,0.38768,0.37329,0.45218,0.28271,0.35835,0.33441,0.281727167,0.32075,0.37802,0.34284,0.42078,0.42079,0.38376,0.3541,0.30309,0.2599,0.299813673,0.42826,0.28903,0.24372,0.28936,0.40117,0.44909,0.352278333
13,9,0,266,2.12,1,15,1.25,2.75,0,0,0,15,0,0.52965,0.37072,0.44272,0.35569,0.4884,0.48718,0.30536,0.389452857,0.52515,0.49592,0.34925,0.446,0.39094,0.49909,0.3244,0.40292,0.36771,0.311691083,0.36005,0.43108,0.38843,0.46467,0.48694,0.44354,0.39154,0.36639,0.2755,0.307053265,0.49321,0.30992,0.24471,0.32273,0.45252,0.50691,0.3793025
13,13,0,407,2.94,2,30,1.25,4.25,0.165,0,0,30.165,0,0.52717,0.36674,0.45599,0.34804,0.48353,0.5064,0.30163,0.398,0.50904,0.51203,0.32579,0.41985,0.42959,0.49684,0.35065,0.42728,0.37814,0.326133333,0.35462,0.41286,0.40475,0.48666,0.50305,0.42029,0.3991,0.31407,0.25978,0.318241837,0.50743,0.32425,0.24394,0.34476,0.45316,0.50027,0.3807525
13,17,0,505,3.13,3,45,1.25,5.75,0.33,0,0,45.33,0,0.52486,0.34341,0.4596,0.33192,0.49746,0.49345,0.29218,0.371588571,0.53108,0.49883,0.36531,0.42696,0.39529,0.50755,0.34963,0.40975,0.38758,0.30576525,0.35968,0.42291,0.40648,0.47096,0.50553,0.42449,0.39763,0.36346,0.27616,0.298845918,0.50303,0.34093,0.26424,0.33408,0.45984,0.49532,0.360132083
13,21,0,617,3.56,4,60,1.25,7.25,0.495,0,0,60.495,0,0.51971,0.33991,0.44153,0.31417,0.47309,0.47627,0.26881,0.362747143,0.50529,0.47954,0.33406,0.39186,0.36739,0.48264,0.33959,0.39111,0.35175,0.29553375,0.33936,0.40966,0.39521,0.43236,0.48296,0.39245,0.36432,0.31259,0.26805,0.28969102,0.48005,0.3307,0.25895,0.32663,0.44301,0.48405,0.342298333
14,5,1,146,0.994,0,0,0,0,0,0,0,0,0,0.47596,0.3282,0.40543,0.32377,0.42899,0.4516,0.23299,0.347771429,0.48524,0.4211,0.30861,0.37906,0.39847,0.48985,0.33965,0.3963,0.3243,0.290333917,0.34056,0.37301,0.34672,0.42029,0.39704,0.37941,0.34422,0.30018,0.23214,0.295147959,0.42892,0.32487,0.24666,0.28922,0.41051,0.47308,0.34551625
14,9,1,250,1.6,1,10,1.25,2.25,0,10,1.25,10,10,0.51613,0.36847,0.44871,0.35204,0.45324,0.50678,0.27646,0.36828,0.5512,0.48349,0.33637,0.43737,0.41187,0.55317,0.33876,0.41969,0.35718,0.309580917,0.36706,0.39224,0.38334,0.43833,0.43834,0.43403,0.37078,0.36013,0.25283,0.283597347,0.48674,0.31987,0.25136,0.33373,0.42417,0.50998,0.362764167
14,13,1,391,2.32,2,25,1.25,3.75,0.165,25,1.25,25.165,25.165,0.53959,0.35903,0.46045,0.33482,0.46816,0.5107,0.2964,0.372771429,0.55491,0.49675,0.31677,0.41745,0.42683,0.55698,0.34166,0.42651,0.3659,0.31482775,0.38291,0.39043,0.40797,0.4577,0.46712,0.42313,0.39256,0.32778,0.2578,0.287519388,0.51681,0.31536,0.29585,0.36194,0.43839,0.52687,0.354597083
14,17,1,489,2.48,3,40,1.25,5.25,0.33,40,1.25,40.33,40.33,0.53413,0.34636,0.46138,0.31799,0.47887,0.51781,0.26588,0.342258571,0.5388,0.494,0.33385,0.40891,0.41368,0.53886,0.35134,0.43348,0.37312,0.2994825,0.37264,0.40559,0.40457,0.44996,0.47729,0.42208,0.38351,0.32361,0.27373,0.268837143,0.51019,0.32571,0.27441,0.36526,0.44635,0.51826,0.339364583
14,21,1,615,2.78,4,55,1.25,6.75,0.495,55,1.25,55.495,55.495,0.54304,0.3451,0.44892,0.32528,0.45581,0.50046,0.25315,0.359554286,0.53676,0.48715,0.31207,0.39306,0.38683,0.531,0.35278,0.41309,0.3427,0.308497583,0.35366,0.3824,0.39538,0.4246,0.45444,0.38762,0.35828,0.30207,0.24403,0.277748776,0.49335,0.33615,0.24157,0.35783,0.42725,0.52587,0.348707917
16,4,0,118,1.26,0,0,0,0,0,0,0,0,0,0.48807,0.33321,0.39956,0.34211,0.43915,0.47484,0.26073,0.361458571,0.49781,0.45321,0.30479,0.3789,0.4243,0.5054,0.35297,0.42236,0.32216,0.293295833,0.37975,0.39347,0.38714,0.4254,0.4338,0.37418,0.37484,0.30507,0.23188,0.286266939,0.4263,0.3486,0.26031,0.32201,0.41661,0.4951,0.3784175
16,8,0,244,1.876,1,18,1,2.8,0,0,0,18,0,0.53468,0.36666,0.43385,0.35256,0.46048,0.50758,0.27505,0.367327143,0.5478,0.49315,0.32138,0.42178,0.43274,0.54327,0.33377,0.43886,0.34952,0.309832833,0.40665,0.41831,0.41457,0.44324,0.48998,0.42491,0.40753,0.32375,0.22331,0.263001224,0.47646,0.3303,0.2873,0.33113,0.43036,0.52513,0.37410125
16,12,0,349,2.16,2,33,1,4.3,0.165,0,0,33.165,0,0.54735,0.34916,0.45116,0.35275,0.47127,0.5386,0.28193,0.38128,0.54908,0.50206,0.32347,0.41199,0.46021,0.54748,0.39618,0.47722,0.36605,0.307289333,0.40182,0.42854,0.43088,0.46538,0.55688,0.39837,0.41137,0.33383,0.2432,0.286584898,0.48674,0.37316,0.27703,0.36805,0.44392,0.54259,0.393442083
16,16,0,475,2.56,3,48,1,5.8,0.33,0,0,48.33,0,0.55995,0.39312,0.48148,0.39472,0.50442,0.55952,0.33575,0.421497143,0.57612,0.53752,0.39534,0.45956,0.49115,0.56753,0.42632,0.50561,0.3984,0.346940167,0.45914,0.45052,0.47395,0.50378,0.53327,0.44146,0.47758,0.39065,0.29057,0.304217551,0.53822,0.39894,0.30479,0.41113,0.47291,0.54498,0.41899
